age,gender,genre1,genre2,genre3,suggested_genre
53,0,18,17,16,17
49,1,34,35,32,32
26,1,4,2,0,2
39,0,21,22,20,22
58,0,17,15,16,15
25,1,16,19,18,18
60,1,30,31,29,31
29,1,30,29,31,29
38,1,30,29,31,29
21,1,30,29,31,29
20,1,29,30,31,31
30,0,26,27,28,26
30,0,36,37,36,38
34,1,28,26,27,27
50,0,33,35,32,35
27,0,29,30,31,31
16,1,20,22,21,21
37,1,15,18,16,18
57,0,28,27,26,28
34,1,10,11,13,10
25,0,36,37,37,38
46,1,31,29,30,29
41,0,32,35,33,35
52,0,13,10,11,11
25,0,19,17,15,15
29,0,35,34,32,34
33,1,20,22,21,21
15,0,24,25,23,24
57,0,37,36,37,38
52,1,36,37,37,38
46,0,28,27,26,28
49,0,15,19,16,15
52,0,21,20,22,20
38,1,35,33,32,32
54,0,35,32,34,32
46,1,19,17,18,17
19,0,28,27,26,26
54,1,25,24,23,25
42,0,17,18,19,18
23,1,18,17,16,18
16,1,9,8,5,9
58,0,26,27,28,27
50,1,36,37,37,38
60,0,15,17,19,17
52,1,29,30,31,29
36,1,1,0,2,2
50,0,3,2,4,2
36,1,20,22,21,22
50,0,1,2,3,1
38,0,24,23,25,25
19,0,35,33,34,35
45,0,33,35,34,33
44,1,10,14,11,14
18,1,34,35,33,34
20,1,20,21,22,22
19,1,25,23,24,24
55,1,18,15,16,16
17,1,17,15,19,19
44,0,24,23,25,25
47,1,14,10,12,12
51,0,24,25,23,24
42,1,34,32,35,32
32,0,13,11,12,13
39,1,17,18,15,15
58,1,36,37,37,38
51,1,6,8,9,9
33,1,21,22,20,22
46,0,8,5,9,5
51,1,1,2,4,2
56,1,5,8,6,5
30,0,24,25,23,23
27,1,13,11,10,11
25,0,19,17,15,15
47,0,9,5,8,9
38,1,21,20,22,22
35,1,20,21,22,22
42,1,7,5,6,5
55,1,14,13,10,13
58,0,31,29,30,29
29,1,2,4,3,4
40,1,22,20,21,22
24,0,13,11,14,13
16,0,20,22,21,21
34,1,5,6,8,5
26,0,29,31,30,31
58,0,19,17,15,17
59,0,37,36,37,38
48,0,17,16,19,16
47,0,31,29,30,30
46,0,34,32,35,34
44,1,26,28,27,26
16,0,32,33,34,34
29,0,29,31,30,30
46,1,3,1,2,1
35,0,20,21,22,20
32,0,11,13,14,14
48,0,3,4,2,2
31,0,28,27,26,26
57,1,19,16,15,19
44,1,28,27,26,26
21,0,10,12,11,12
47,0,37,36,37,38
22,1,8,5,6,8
22,1,31,29,30,31
17,0,37,36,37,38
56,0,6,8,7,6
58,1,17,19,18,19
51,0,17,15,16,17
38,0,33,32,35,32
51,1,31,30,29,30
34,1,37,36,37,38
60,1,16,18,19,19
59,0,32,33,35,35
42,1,23,24,25,23
32,0,24,25,23,24
51,0,6,7,8,6
47,1,36,37,36,38
25,0,13,11,12,11
21,1,4,0,3,4
52,1,15,19,18,19
39,0,35,33,32,33
52,1,35,34,32,35
60,0,3,2,0,2
40,0,15,17,19,19
58,0,17,18,15,17
25,1,26,28,27,28
40,0,22,20,21,21
57,0,22,20,21,21
25,1,0,4,3,0
49,0,5,7,6,6
43,1,21,20,22,21
38,0,26,27,28,27
23,1,30,31,29,30
55,1,19,15,16,15
40,0,22,20,21,22
21,0,6,5,9,5
28,1,29,30,31,31
35,0,37,36,36,38
23,0,6,5,7,5
39,1,24,25,23,25
37,1,36,37,36,38
30,1,32,33,35,35
33,1,10,11,14,10
20,0,24,25,23,24
58,0,24,25,23,25
22,0,22,21,20,20
25,1,15,17,18,17
56,0,30,31,29,29
16,1,26,27,28,26
45,0,30,31,29,31
28,1,30,29,31,29
46,0,36,37,37,38
46,1,8,5,6,8
43,1,29,31,30,31
29,0,2,1,0,1
26,1,0,3,1,0
60,0,36,37,36,38
39,1,34,32,33,34
37,0,35,34,33,33
43,0,24,25,23,24
40,0,37,36,36,38
48,1,30,29,31,31
28,0,35,32,33,32
26,1,33,35,32,35
20,1,20,22,21,20
23,0,26,27,28,26
32,0,20,21,22,20
29,1,14,11,10,10
37,0,36,37,37,38
27,0,35,32,34,32
59,1,22,20,21,22
59,0,26,28,27,26
38,0,23,24,25,25
58,0,35,32,33,35
51,0,19,15,16,16
39,0,2,0,1,2
43,0,1,4,3,4
17,0,31,29,30,29
44,0,2,0,4,2
49,0,26,27,28,28
53,1,18,17,19,19
48,0,22,21,20,21
15,1,8,5,7,8
57,1,5,9,7,5
55,0,22,20,21,22
25,1,23,25,24,25
28,0,8,7,6,7
59,1,15,17,18,17
44,0,32,35,33,35
25,1,12,10,14,14
40,0,0,3,2,0
15,0,30,31,29,29
40,0,36,37,37,38
21,1,34,35,33,35
57,1,27,28,26,28
19,0,31,30,29,29
34,1,27,26,28,26
41,0,36,37,37,38
59,0,13,11,14,11
54,0,25,23,24,25
16,0,15,18,17,15
30,1,25,23,24,23
32,0,1,0,4,1
59,0,36,37,36,38
39,1,6,5,8,6
53,1,1,4,2,2
42,0,35,34,32,34
17,0,12,10,11,11
40,1,0,1,3,1
52,0,24,23,25,23
22,0,33,34,35,35
15,0,21,20,22,21
52,1,30,31,29,31
33,0,10,11,12,11
37,0,21,20,22,21
19,0,7,5,8,5
16,0,28,26,27,27
54,1,12,10,11,10
42,0,30,31,29,31
35,0,26,27,28,26
59,1,28,26,27,26
58,1,8,6,5,8
32,1,37,36,36,38
27,0,20,21,22,20
37,1,35,33,34,33
22,1,36,37,37,38
60,1,9,8,7,9
52,1,9,6,8,8
32,1,15,18,17,15
50,0,34,33,35,34
16,1,24,25,23,24
48,1,10,14,12,14
53,1,27,28,26,26
55,0,24,23,25,25
60,1,32,34,35,35
29,0,8,6,5,6
17,1,23,24,25,25
27,1,6,8,7,8
43,1,12,13,10,13
18,0,20,21,22,22
36,0,32,34,35,35
43,1,36,37,36,38
54,1,8,9,6,8
38,0,7,9,6,7
40,0,37,36,37,38
16,0,20,21,22,21
41,0,36,37,36,38
45,1,3,0,4,4
44,1,14,11,13,13
59,0,3,0,2,3
30,1,28,26,27,26
45,1,19,17,15,19
35,0,22,21,20,22
26,0,9,7,5,9
29,0,30,29,31,30
60,1,2,3,4,4
37,1,18,17,15,17
24,1,6,9,5,6
36,1,20,21,22,20
24,1,36,37,36,38
59,0,34,33,32,34
41,0,25,24,23,23
55,0,33,32,35,32
31,1,35,32,33,33
45,0,31,30,29,29
40,0,12,10,14,14
23,0,36,37,37,38
53,1,22,20,21,21
32,1,20,22,21,21
43,1,14,10,12,14
21,1,9,7,8,7
50,0,17,18,15,18
58,0,27,26,28,28
59,0,26,27,28,27
23,0,6,9,7,7
24,0,20,21,22,20
47,0,6,7,5,7
56,0,17,15,16,16
57,1,23,25,24,24
47,0,37,36,36,38
48,0,2,4,3,2
24,0,29,31,30,31
34,0,26,28,27,27
29,0,25,23,24,25
35,0,34,32,35,32
32,1,34,32,33,33
47,1,33,35,34,35
48,0,2,3,0,0
53,0,17,19,15,17
45,0,8,6,7,7
31,0,37,36,36,38
17,0,21,20,22,21
60,0,23,24,25,23
53,1,1,2,0,2
29,1,35,33,32,35
16,0,23,24,25,24
41,1,3,1,4,1
46,1,20,21,22,22
27,0,34,35,32,32
50,1,2,3,1,1
46,0,7,6,8,6
43,1,25,24,23,24
16,0,7,6,9,6
48,0,29,30,31,30
44,0,21,22,20,21
27,0,16,15,19,16
19,0,26,27,28,27
50,0,28,26,27,26
44,0,23,24,25,24
56,1,16,18,17,18
46,1,33,35,32,35
32,0,31,30,29,30
45,1,28,26,27,27
19,0,1,4,0,1
42,1,27,28,26,26
58,1,16,19,15,15
41,0,26,27,28,26
22,1,26,28,27,27
29,0,25,24,23,25
25,1,17,19,15,15
49,1,25,24,23,25
31,0,21,20,22,21
42,1,37,36,37,38
38,1,18,19,17,18
15,0,27,28,26,27
26,0,13,11,12,11
46,1,4,2,3,3
35,1,37,36,36,38
35,1,2,4,3,2
38,1,7,5,6,6
18,0,27,28,26,26
41,0,37,36,36,38
30,1,25,24,23,25
16,0,36,37,36,38
21,0,37,36,36,38
59,0,30,31,29,31
19,0,0,4,3,4
36,0,21,20,22,22
47,1,20,21,22,21
39,1,3,2,4,3
15,1,7,5,8,7
20,1,22,20,21,21
45,1,14,11,13,11
50,0,29,31,30,30
16,0,37,36,36,38
26,0,33,34,32,33
45,0,22,20,21,22
36,0,6,7,8,6
50,1,23,24,25,24
33,0,34,35,32,34
15,1,37,36,37,38
37,1,18,17,16,16
26,0,23,24,25,23
50,1,27,28,26,26
23,1,2,4,0,4
37,1,24,25,23,23
33,0,32,34,33,33
41,0,20,21,22,22
22,1,24,25,23,25
28,0,32,34,33,32
37,0,12,11,14,11
59,0,20,21,22,21
20,1,6,5,8,8
55,0,2,0,4,0
44,0,32,33,35,35
29,0,13,12,11,12
18,1,10,14,11,14
15,0,24,25,23,24
42,0,9,5,6,5
27,0,8,5,9,5
50,0,37,36,37,38
20,1,18,19,16,19
37,0,19,15,16,15
54,0,19,18,17,18
22,0,11,12,14,11
48,0,17,15,18,17
59,0,14,10,13,10
16,0,11,13,12,12
23,1,9,6,5,9
26,1,5,9,6,6
51,1,33,32,34,32
42,0,36,37,37,38
59,1,25,23,24,25
56,1,12,13,11,11
48,1,22,21,20,22
45,0,28,26,27,27
53,1,3,2,0,3
50,1,13,11,12,13
18,0,26,28,27,27
22,1,5,7,8,8
46,1,36,37,37,38
36,0,35,34,33,34
51,0,24,23,25,23
47,0,28,26,27,28
46,0,19,17,18,18
42,0,30,29,31,31
56,1,28,27,26,28
28,0,20,21,22,20
52,1,16,17,18,18
39,1,35,32,34,32
29,1,1,3,2,2
27,0,17,18,15,18
47,0,34,32,33,32
52,1,14,12,10,12
56,1,32,33,34,34
43,1,28,27,26,26
27,0,7,8,9,7
58,1,0,2,4,0
31,1,28,26,27,28
53,0,36,37,37,38
